"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G164967",888,365,160,1,1,1,413,478,263,1,4,2
"GRMZM2G407146",210,577,494,85,132,157,218,368,360,71,105,142
"GRMZM2G163079",67,151,200,0,1,0,70,166,247,0,0,0
"GRMZM2G079436",272,612,268,130,137,125,272,264,221,81,127,55
"GRMZM2G387341",5,53,41,2,1,0,15,25,19,0,1,0
"GRMZM2G044104",109,33,24,101,121,112,67,33,28,94,137,64
"GRMZM2G010924",421,209,110,0,2,1,268,212,111,1,1,1
"GRMZM2G456835",335,660,710,142,419,417,294,638,666,116,424,518
"GRMZM2G134476",113,222,669,849,1118,2436,88,221,686,688,981,1512
"GRMZM2G306237",118,40,19,1,2,1,69,52,30,0,3,1
"GRMZM2G026956",19,112,12,0,0,0,8,84,15,0,0,0
"GRMZM2G114471",383,205,107,1,0,0,264,119,118,0,0,0
"GRMZM2G133660",49,106,127,64,106,110,42,133,145,56,103,124
"GRMZM2G414621",63,24,34,31,15,8,27,29,58,38,24,3
"GRMZM2G112656",98,232,221,176,170,296,109,200,331,161,147,161
"GRMZM2G030542",173,333,297,151,211,235,181,258,289,120,210,196
"GRMZM2G036554",68,20,10,22,50,25,20,28,22,24,39,41
"GRMZM2G026780",102,349,323,8532,7116,5280,108,226,56,8188,9577,267
"GRMZM2G031909",6,39,15,0,0,0,6,29,0,0,0,0
"GRMZM2G427054",1150,2668,1641,430,207,116,1393,2711,2006,259,166,137
"GRMZM2G029249",13,46,33,145,122,87,22,33,26,121,124,54
"GRMZM2G346455",6506,4893,4558,3260,2916,1978,4521,4673,5147,2810,2783,1986
"GRMZM2G063464",1212,267,226,0,0,0,510,392,365,0,1,0
"GRMZM2G174699",97,415,795,0,0,0,70,786,1153,0,0,0
"GRMZM2G095382",27,117,194,1,3,1,36,83,120,2,4,2
"GRMZM2G413897",259,1023,128,4534,5283,4072,247,523,89,3732,4641,2253
"GRMZM2G094490",944,220,395,217,56,65,435,249,405,235,93,60
"GRMZM2G318530",130,55,20,24,32,28,90,46,23,18,27,25
"GRMZM2G129450",63,128,130,27,31,51,68,85,74,21,40,33
"GRMZM2G152548",364,219,255,2129,2021,3021,237,237,349,1934,2132,2258
